record_id,company_name,contact_first,contact_last,email,phone,city,state,zip,signup_date,monthly_volume,status
MRC-101852,Prairie Electric,Jason,Walker,jason.walker@prairie-example.com,,Phoenix,AZ,,2022-05-05,8266.66,churned
MRC-101481,Granite Plumbing,,Thomas,mark.thomas@granite-example.com,5143947368,Boston,MA,2108,2024-05-01,4218.31,pending
MRC-101561,Copper Electric,Laura,Miller,laura.miller@copper-example.com,537-758-6334,Providence,RI,,2024-12-04,659.35,churned
MRC-100783,Bluebird Catering,Anna,Anderson,anna.anderson@bluebird-example.com,9066814247,Chicago,IL,60601,2021-08-29,1932.77,Active
MRC-100779,Bluebird Consulting,Robert,Martinez,robert.martinez@bluebird-example.com,,Spring,TX,77373,2024-07-09,3382.8,churned
MRC-101974,Harbor Catering,Brian,Martin,brian.martin@harbor-example.com,5812157051,Newark,NJ,07102,2020-01-06,391.76,pending
MRC-100496,Prairie Plumbing,Sophia,Thomas,sophia.thomas@prairie-example.com,+1 519 521 6540,Providence,RI,2903,2020-08-18,209.07,active
MRC-100006,Harbor HVAC,,Miller,james.miller@harbor-example.com,(955) 799-9350,Houston,TX,77002,2022-04-21,1211.68,churned
MRC-100422,Bluebird Bakery,Karen,Garcia,karen.garcia@bluebird-example.com,+1 968 529 9728,Boston,MA,2108,2019-10-28,11278.95,active
MRC-101176,Prairie Consulting,Sarah,Taylor,sarah.taylor@prairie-example.com,789-730-5860,Spring,TX,77373,,6658.18,churned
MRC-100819,Prairie HVAC,Michael,Taylor,michael.taylor@prairie-example.com,,Boston,MA,2108,2019-10-02,2308.55,churned
MRC-100759,Harbor Consulting,Jason,Walker,jason.walker@harbor-example.com,9076502069,Phoenix,AZ,85001,2020-02-21,305.37,ACTIVE
MRC-101942,Harbor Logistics,Karen,Jackson,karen.jackson@harbor-example.com,(685) 438-2658,Phoenix,AZ,85001,2020-04-18,2223.29,active
MRC-100188,Summit Electric,Daniel,Williams,daniel.williams@summit-example.com,2525834028,Chicago,IL,60601,2022-01-02,3757.44,active
MRC-101957,Cedar HVAC,Karen,Martinez,karen.martinez@cedar-example.com,(435) 550-3392,Houston,TX,77002,1900-01-01,141.96,ACTIVE
MRC-100701,Copper Roofing,Paul,Thomas,paul.thomas@copper-example.com,+1 256 382 7838,Phoenix,AZ,85001,2019-03-06,5892.06,active
MRC-101000,Lakeside Logistics,Sarah,Thomas,sarah.thomas@lakeside-example.com,494-452-8347,Spring,TX,77373,2019-06-19,1908.88,pending
MRC-101917,Lakeside HVAC,Sophia,Wilson,sophia.wilson@lakeside-example.com,+1 891 384 6659,Providence,RI,2903,2025-05-27,15700.83,active
MRC-100755,Pioneer Electric,,Smith,maria.smith@pioneer-example.com,+1 590 305 2866,Denver,CO,80202,2023-08-13,612.93,active
MRC-101482,Granite Consulting,Sarah,Anderson,sarah.anderson@granite-example.com,511-552-8000,Atlanta,GA,30303,,254.9,pending
MRC-101848,Pioneer Electric,Laura,Moore,laura.moore@pioneer-example.com,,Providence,RI,02903,,1320.03,churned
MRC-101512,Pioneer HVAC,Maria,Martinez,maria.martinez@pioneer-example.com,+1 980 250 5627,Spring,TX,77373,2021-12-10,5907.24,active
MRC-101158,Copper Catering,Sophia,Davis,sophia.davis@copper-example.com,,Spring,TX,77373,2023-08-22,908.74,churned
MRC-101269,Cedar Auto Repair,,Anderson,linda.anderson@cedar-example.com,296-867-4634,Portland,OR,97201,2021-06-28,1078.47,active
MRC-100990,Ironwood Logistics,Sarah,Moore,sarah.moore@ironwood-example.com,(998) 991-1847,Chicago,IL,60601,2020-08-25,1821.56,Active
MRC-100893,Summit Bakery,Maria,Jackson,maria.jackson@summit-example.com,,Spring,TX,77373,2024-04-18,1045.3,churned
MRC-100711,Redstone Cleaning,Olivia,Garcia,olivia.garcia@redstone-example.com,(813) 892-4450,Denver,CO,80202,2021-10-29,2565.23,pending
MRC-100408,Granite HVAC,Brian,Jones,brian.jones@granite-example.com,900-710-7578,Portland,OR,97201,2021-09-05,3684.94,churned
MRC-101856,Pioneer Landscaping,Jason,Walker,jason.walker@pioneer-example.com,6538623532,Boston,MA,02108,2019-10-05,207.29,churned
MRC-100785,Summit Catering,Michael,Miller,michael.miller@summit-example.com,238-449-7963,Newark,NJ,7102,,3503.02,active
MRC-101216,Pioneer Auto Repair,Maria,Thomas,maria.thomas@pioneer-example.com,+1 333 497 8098,Atlanta,GA,30303,2021-04-15,313.02,active
MRC-101082,Bluebird Logistics,Mark,Rodriguez,mark.rodriguez@bluebird-example.com,365-238-5035,Spring,TX,77373,2020-06-28,3529.9,active
MRC-101631,Summit Printing,,Johnson,nancy.johnson@summit-example.com,2019088300,Chicago,IL,60601,,1165.79,pending
MRC-100047,Prairie Logistics,Linda,Rodriguez,linda.rodriguez@prairie-example.com,+1 985 679 4220,Chicago,IL,60601,2024-08-04,2742.89,Churned
MRC-101771,Harbor Landscaping,Michael,Jackson,michael.jackson@harbor-example.com,(517) 817-8141,Providence,RI,2903,2023-07-13,246.0,Active
MRC-101623,Copper Printing,Michael,Thomas,michael.thomas@copper-example.com,6055052615,Spring,TX,77373,2025-03-30,504.0,active
MRC-101604,Harbor Consulting,Olivia,Jones,olivia.jones@harbor-example.com,,Chicago,IL,60601,2024-07-06,-178.16,pending
MRC-100303,Granite Landscaping,Mark,Wilson,mark.wilson@granite-example.com,(326) 588-1480,Denver,CO,80202,2023-07-08,1536.33,churned
MRC-100023,Willow Electric,Jason,Johnson,jason.johnson@willow-example.com,+1 368 797 6743,Phoenix,AZ,85001,2021-07-15,1184.15,Churned
MRC-100663,Willow Logistics,Linda,Williams,linda.williams@willow-example.com,(248) 608-2767,Phoenix,AZ,85001,2024-07-04,8100.94,active
MRC-100828,Redstone Logistics,Maria,Jones,maria.jones@redstone-example.com,546-978-2733,Houston,TX,,2024-12-22,499.39,pending
MRC-101549,Willow Catering,Emma,Thomas,emma.thomas@willow-example.com,,Providence,ri,2903,2024-08-16,655.74,CHURNED
MRC-100992,Pioneer Logistics,Michael,Moore,michael.moore@pioneer-example.com,4327834413,Boston,MA,2108,1900-01-01,3923.49,churned
MRC-100062,Harbor Auto Repair,Mark,Williams,mark.williams@harbor-example.com,(329) 598-2251,Boston,MA,2108,2022-09-28,1434.56,active
MRC-101395,Cedar Plumbing,Robert,Miller,robert.miller@cedar-example.com,6038596397,Portland,OR,97201,2023-04-03,643.98,churned
MRC-100672,Summit Cleaning,Maria,Brown,maria.brown@summit-example.com,4757706777,Phoenix,AZ,85001,2021-06-08,1837.08,active
MRC-101592,Lakeside HVAC,David,Davis,david.davis@lakeside-example.com,,Spring,TX,77373,2024-05-02,4595.53,pending
MRC-100113,Cedar Catering,Nancy,Williams,,+1 426 430 5344,Providence,RI,02903,2025-10-01,4719.66,churned
MRC-100275,Summit Landscaping,Jason,Moore,jason.moore@summit-example.com,5058456613,Newark,NJ,7102,2020-09-11,7522.93,churned
MRC-100985,Willow Catering,Laura,Anderson,laura.anderson@willow-example.com,,Portland,OR,,2022-03-30,5804.11,pending
MRC-100805,Bluebird Landscaping,Jason,Davis,jason.davis@bluebird-example.com,+1 673 838 3072,Chicago,il,60601,2023-09-02,1151.91,CHURNED
MRC-100342,Bluebird Plumbing,Anna,Rodriguez,anna.rodriguez@bluebird-example.com,+1 899 243 4752,Houston,TX,77002,1900-01-01,1286.34,active
MRC-100926,Copper Consulting,Karen,Brown,karen.brown@copper-example.com,,Chicago,IL,60601,2022-01-31,2791.44,active
MRC-100409,Prairie Roofing,Maria,Lee,maria.lee@prairie-example.com,+1 815 736 1210,Providence,RI,2903,2021-06-02,4005.85,active
MRC-101393,Bluebird Bakery,Olivia,Thomas,olivia.thomas@bluebird-example.com,991-219-9736,Portland,OR,97201,2023-11-20,2670.67,pending
MRC-101524,Granite Auto Repair,James,Martinez,james.martinez@granite-example.com,(847) 504-4358,Portland,OR,97201,2024-04-23,1260.64,pending
MRC-100781,Lakeside Cleaning,,Lee,karen.lee@lakeside-example.com,+1 733 300 6238,Providence,RI,02903,2023-10-11,1076.61,churned
MRC-100947,Redstone Bakery,Brian,Martin,brian.martin@redstone-example.com,3574808399,Phoenix,az,85001,2023-01-05,10374.63,pending
MRC-100752,Lakeside Electric,Jason,Martinez,jason.martinez@lakeside-example.com,+1 719 577 8310,Atlanta,GA,30303,2022-11-28,591.34,PENDING
MRC-101189,Lakeside Cleaning,Brian,Lee,brian.lee@lakeside-example.com,5478824037,Atlanta,GA,30303,2025-01-16,13709.49,Pending
MRC-100799,Cedar Cleaning,Paul,Anderson,paul.anderson@cedar-example.com,325-234-4595,Atlanta,GA,30303,2024-05-05,2035.05,pending
MRC-101409,Lakeside Electric,,Jones,emma.jones@lakeside-example.com,+1 559 528 2990,Boston,MA,02108,2020-03-28,717.51,active
MRC-101755,Bluebird Plumbing,Kevin,Johnson,kevin.johnson@bluebird-example.com,,Houston,TX,77002,2023-07-30,650.52,active
MRC-101968,Redstone Catering,Karen,Taylor,karen.taylor@redstone-example.com,+1 221 549 7139,Newark,NJ,7102,2025-10-20,2657.19,churned
MRC-100107,Granite HVAC,Brian,Brown,brian.brown@granite-example.com,+1 287 707 4388,Providence,RI,2903,2023-06-14,764.62,pending
MRC-101522,Cedar HVAC,Emma,Williams,emma.williams@cedar-example.com,6573259789,Portland,OR,97201,2022-05-07,330.67,pending
MRC-101420,Harbor HVAC,,Walker,sarah.walker@harbor-example.com,8275802694,Houston,TX,77002,2023-02-09,1291.94,PENDING
MRC-100552,Ironwood Cleaning,Olivia,Walker,olivia.walker@ironwood-example.com,,Denver,CO,80202,2019-12-07,1122.0,churned
MRC-101460,Pioneer Catering,Paul,Williams,paul.williams@pioneer-example.com,313-469-8628,Portland,OR,97201,2020-09-21,1747.16,pending
MRC-100226,Summit HVAC,Emma,Rodriguez,emma.rodriguez@summit-example.com,+1 724 834 6978,Providence,RI,2903,2019-07-29,3017.06,churned
MRC-100338,Bluebird Printing,Mark,Martinez,mark.martinez@bluebird-example.com,(318) 564-3304,Denver,CO,80202,1900-01-01,0.0,churned
MRC-100331,Ironwood Logistics,Paul,Walker,paul.walker@ironwood-example.com,3122695473,Atlanta,GA,30303,2023-06-03,1802.57,pending
MRC-101809,Granite HVAC,Nancy,Hall,nancy.hall@granite-example.com,(475) 422-1771,Spring,TX,,2024-05-05,267.64,churned
MRC-100033,Ironwood HVAC,Laura,Hall,laura.hall@ironwood-example.com,5687618206,Atlanta,GA,30303,2022-07-10,2618.91,Active
MRC-101240,Pioneer Catering,Sophia,Walker,sophia.walker@pioneer-example.com,,Providence,RI,2903,2021-06-11,3353.9,PENDING
MRC-101413,Prairie Logistics,Sarah,Hall,sarah.hall@prairie-example.com,,Spring,TX,77373,2024-08-12,1292.31,churned
MRC-101729,Pioneer Catering,Nancy,Jones,nancy.jones@pioneer-example.com,(295) 920-6766,Spring,TX,77373,2019-02-06,1095.61,pending
MRC-100413,Harbor Logistics,Olivia,Rodriguez,olivia.rodriguez@harbor-example.com,,Spring,TX,77373,2025-02-18,717.63,churned
MRC-100771,Granite Bakery,James,Taylor,james.taylor@granite-example.com,8623752244,Atlanta,GA,30303,2021-05-06,0.0,pending
MRC-101036,Pioneer Catering,Nancy,Rodriguez,nancy.rodriguez@pioneer-example.com,4258737124,Atlanta,GA,30303,2021-03-03,1670.64,pending
MRC-100330,Prairie Catering,Maria,Miller,maria.miller@prairie-example.com,,Newark,NJ,7102,2019-01-30,7495.86,churned
MRC-101261,Prairie HVAC,Nancy,Wilson,nancy.wilson@prairie-example.com,(599) 943-5037,Phoenix,AZ,85001,2021-10-03,8634.83,churned
MRC-100579,Granite Catering,Brian,Garcia,brian.garcia@granite-example.com,+1 928 617 8385,Denver,CO,80202,2023-03-20,959.55,pending
MRC-100361,Bluebird Plumbing,Olivia,Smith,olivia.smith@bluebird-example.com,3273905579,Phoenix,AZ,85001,2024-07-30,4248.04,CHURNED
MRC-200047,CEDAR CONSULTING,SARAH,Martin,sarah.martin@cedar-example.com,397-326-9847,Providence,RI,2903,2024-10-14,2190.02,pending
MRC-100739,Willow Auto Repair,Jason,Anderson,jason.anderson@willow-example.com,+1 583 899 9076,Spring,TX,77373,2025-05-13,1394.66,active
MRC-100449,Redstone Catering,Maria,Wilson,maria.wilson@redstone-example.com,498-307-9808,Chicago,il,60601,2020-11-20,3911.36,pending
MRC-101149,Willow Consulting,Sarah,Taylor,sarah.taylor@willow-example.com,+1 658 806 4103,Chicago,IL,,2025-10-24,16246.01,churned
MRC-100621,Lakeside Cleaning,Nancy,Moore,,9308671205,Providence,RI,02903,2022-03-27,215.97,churned
MRC-101127,Summit Plumbing,Jason,Brown,jason.brown@summit-example.com,615-373-5044,Providence,RI,2903,2019-11-18,9710.15,churned
MRC-101792,Willow Roofing,Emma,Taylor,emma.taylor@willow-example.com,687-647-8573,Newark,NJ,7102,2025-01-10,1215.94,churned
MRC-100816,Bluebird HVAC,Sophia,Brown,sophia.brown@bluebird-example.com,(890) 904-5640,Spring,tx,77373,2020-12-12,6347.33,churned
MRC-101177,Copper Bakery,Nancy,Rodriguez,nancy.rodriguez@copper-example.com,7806025869,Atlanta,GA,30303,2023-04-17,595.32,pending
MRC-101320,Redstone Roofing,,Taylor,olivia.taylor@redstone-example.com,7123896665,Houston,TX,77002,2019-08-20,6112.67,churned
MRC-100598,Harbor Consulting,Daniel,Thomas,daniel.thomas@harbor-example.com,9064231641,Spring,TX,77373,2020-01-19,3442.36,pending
MRC-101259,Prairie Bakery,Nancy,Garcia,nancy.garcia@prairie-example.com,(229) 773-7280,Providence,RI,02903,2025-01-12,2016.34,pending
MRC-101080,Copper Logistics,Kevin,Miller,kevin.miller@copper-example.com,3107269271,Providence,RI,2903,2021-03-16,1224.7,churned
MRC-100754,Redstone Catering,Nancy,Garcia,nancy.garcia@redstone-example.com,+1 456 831 8023,Boston,MA,2108,2021-06-17,1789.88,active
MRC-101088,Pioneer Auto Repair,Laura,Lee,laura.lee@pioneer-example.com,(809) 925-5067,Houston,TX,77002,2023-05-19,3519.78,Pending
MRC-100041,Copper Logistics,Nancy,Walker,nancy.walker@copper-example.com,+1 327 578 8290,Houston,TX,77002,2021-02-21,4378.47,active
MRC-100325,Ironwood Logistics,Laura,Lee,laura.lee@ironwood-example.com,+1 651 666 2007,Boston,MA,2108,2023-08-10,934.06,ACTIVE
MRC-101621,Granite Bakery,Daniel,Brown,daniel.brown@granite-example.com,+1 698 665 7636,Atlanta,ga,30303,2025-02-27,1673.03,pending
MRC-101722,Granite HVAC,Brian,Johnson,brian.johnson@granite-example.com,,Portland,OR,97201,2022-05-02,2292.26,Churned
MRC-100383,Prairie HVAC,James,Moore,james.moore@prairie-example.com,,Providence,RI,,2024-02-03,3069.05,pending
MRC-101349,Summit Cleaning,Nancy,Anderson,nancy.anderson@summit-example.com,(249) 636-1575,Chicago,IL,60601,2019-06-07,8283.21,pending
MRC-100773,Bluebird Electric,Emma,Smith,emma.smith@bluebird-example.com,(754) 832-3820,Portland,OR,,2022-05-29,6157.63,churned
MRC-101225,Summit Catering,Karen,Walker,karen.walker@summit-example.com,(625) 431-3171,Providence,RI,2903,2019-10-25,1430.17,churned
MRC-100458,Lakeside Plumbing,Mark,Jones,mark.jones@lakeside-example.com,(493) 688-6147,Denver,co,80202,2024-06-10,198.13,pending
MRC-101323,Cedar Landscaping,Brian,Davis,brian.davis@cedar-example.com,+1 329 478 7390,Houston,TX,77002,2023-04-15,1318.26,churned
MRC-100744,Redstone Electric,Linda,Miller,linda.miller@redstone-example.com,,Chicago,IL,60601,2019-04-01,1283.2,Churned
MRC-100906,Copper Printing,Paul,Jackson,,(729) 924-5421,Spring,TX,77373,2023-01-30,1318.63,churned
MRC-100117,Willow Auto Repair,Linda,Walker,linda.walker@willow-example.com,867-324-4540,Newark,NJ,07102,2024-09-06,405.98,churned
MRC-101334,Bluebird HVAC,Kevin,Miller,kevin.miller@bluebird-example.com,,Providence,ri,2903,2023-04-13,1536.95,churned
MRC-100922,Redstone Logistics,Emma,Lee,emma.lee@redstone-example.com,(722) 366-2819,Boston,MA,2108,2024-03-13,1861.91,churned
MRC-100438,Redstone Consulting,Sophia,Hall,sophia.hall@redstone-example.com,+1 445 917 8503,Denver,CO,80202,2020-12-09,274.7,Active
MRC-101890,Willow Printing,Sophia,Martin,sophia.martin@willow-example.com,3767483261,Denver,CO,,2022-01-03,3557.15,pending
MRC-101661,Harbor Bakery,Sarah,Miller,sarah.miller@harbor-example.com,(663) 889-3362,Providence,RI,02903,2024-04-28,484.12,active
MRC-101680,Lakeside Logistics,Karen,Martin,karen.martin@lakeside-example.com,,Portland,OR,97201,2024-10-28,423.59,active
MRC-101367,Redstone Printing,Paul,Anderson,paul.anderson@redstone-example.com,9069113289,Portland,OR,97201,2021-01-18,1022.6,churned
MRC-101913,Copper Plumbing,Daniel,Garcia,daniel.garcia@copper-example.com,+1 775 683 4725,Houston,TX,77002,2022-01-12,9064.18,pending
MRC-100934,Harbor HVAC,Anna,Miller,anna.miller@harbor-example.com,(865) 803-1990,Portland,OR,,2024-12-24,1524.74,active
MRC-100957,Redstone Cleaning,Michael,Martinez,michael.martinez@redstone-example.com,5242289069,Providence,RI,02903,1900-01-01,470.7,Churned
MRC-100937,Redstone Printing,Brian,Taylor,brian.taylor@redstone-example.com,374-388-7234,Newark,NJ,7102,2022-04-24,442.79,pending
MRC-100405,Redstone Landscaping,Brian,Smith,brian.smith@redstone-example.com,+1 951 437 6619,Portland,OR,97201,2020-10-31,229.36,Active
MRC-100763,Redstone Landscaping,Robert,Martin,robert.martin@redstone-example.com,4468991872,Denver,CO,80202,2024-03-27,4469.09,pending
MRC-100079,Lakeside Consulting,Laura,Williams,laura.williams@lakeside-example.com,5135422553,Phoenix,az,85001,2023-10-13,979.93,churned
MRC-101042,Bluebird Plumbing,Paul,Jackson,paul.jackson@bluebird-example.com,(912) 516-6287,Portland,OR,97201,2022-04-18,7544.57,pending
MRC-101394,Ironwood HVAC,Linda,Jackson,linda.jackson@ironwood-example.com,5215608867,Providence,RI,02903,2023-07-14,1798.64,pending
MRC-101443,Summit Consulting,Laura,Johnson,laura.johnson@summit-example.com,(252) 262-9627,Chicago,Ill.,60601,2019-02-09,1981.59,churned
MRC-100973,Prairie HVAC,Jason,Jackson,jason.jackson@prairie-example.com,436-258-5705,Portland,OR,97201,2020-04-19,5256.59,CHURNED
MRC-101834,Redstone Logistics,Karen,Jones,karen.jones@redstone-example.com,925-621-7779,Phoenix,AZ,85001,2025-04-14,1196.75,churned
MRC-100171,Ironwood Bakery,Emma,Brown,emma.brown@ironwood-example.com,8187284781,Phoenix,AZ,85001,2021-12-03,1303.41,Active
MRC-100169,Summit HVAC,Robert,Rodriguez,robert.rodriguez@summit-example.com,+1 989 869 3760,Atlanta,GA,30303,2022-06-28,2465.56,churned
MRC-100108,Willow Bakery,Emma,Miller,emma.miller@willow-example.com,2482116922,Boston,MA,02108,2023-10-23,858.19,active
MRC-101363,Summit HVAC,Olivia,Thomas,olivia.thomas@summit-example.com,5828503844,Newark,NJ,7102,2024-11-10,1878.58,pending
MRC-100936,Lakeside Bakery,Michael,Wilson,michael.wilson@lakeside-example.com,6393932911,Boston,MA,,2020-10-10,2244.02,CHURNED
MRC-101135,Cedar Cleaning,Karen,Brown,karen.brown@cedar-example.com,+1 982 644 9056,Phoenix,AZ,85001,2019-07-16,1131.6,pending
MRC-100764,Pioneer Printing,Linda,Martin,linda.martin@pioneer-example.com,+1 346 414 8591,Portland,OR,97201,2022-04-06,1642.64,active
MRC-100963,Redstone Roofing,Maria,Anderson,maria.anderson@redstone-example.com,677-632-5893,Chicago,IL,60601,2025-07-27,618.09,Active
MRC-100898,Willow Printing,Anna,Davis,anna.davis@willow-example.com,327-610-8587,Phoenix,AZ,85001,2019-11-26,38753.22,churned
MRC-101122,Granite Plumbing,Nancy,Jones,nancy.jones@granite-example.com,(838) 339-2408,Phoenix,AZ,85001,2031-05-14,127.67,active
MRC-101480,Prairie Roofing,Maria,Smith,maria.smith@prairie-example.com,261-856-2020,Boston,Mass,02108,2020-09-05,1026.21,ACTIVE
MRC-100192,Summit Landscaping,Daniel,Garcia,daniel.garcia@summit-example.com,283-824-3124,Denver,co,80202,2025-08-12,17241.65,churned
MRC-101432,Cedar Catering,Sarah,Walker,sarah.walker@cedar-example.com,+1 337 358 5380,Portland,OR,97201,2024-12-24,2448.11,pending
MRC-101611,Ironwood Cleaning,Anna,Williams,anna.williams@ironwood-example.com,6337634894,Newark,NJ,7102,2023-08-10,1737.64,pending
MRC-101473,Prairie Roofing,Sarah,Brown,sarah.brown@prairie-example.com,685-288-7774,Phoenix,AZ,85001,2019-06-26,474.99,active
MRC-100018,Ironwood Logistics,Daniel,Jackson,daniel.jackson@ironwood-example.com,+1 658 240 6686,Phoenix,AZ,85001,2023-01-02,227.65,pending
MRC-101749,Harbor Plumbing,Paul,Hall,,483-214-6735,Boston,MA,02108,2023-03-01,1377.32,ACTIVE
MRC-101525,Willow Plumbing,Daniel,Williams,daniel.williams@willow-example.com,(205) 819-2735,Newark,NJ,07102,2023-10-18,583.02,pending
MRC-101681,Granite Auto Repair,Michael,Rodriguez,michael.rodriguez@granite-example.com,+1 716 946 9212,Atlanta,GA,30303,2021-01-15,1144.27,Active
MRC-101919,Copper Cleaning,Daniel,Moore,daniel.moore@copper-example.com,(744) 284-4778,Houston,TX,77002,2025-07-20,5344.32,pending
MRC-100885,Cedar Printing,Sophia,Jackson,sophia.jackson@cedar-example.com,931-328-8712,Spring,TX,77373,,1153.72,churned
MRC-100719,Pioneer Roofing,Robert,Lee,robert.lee@pioneer-example.com,+1 403 876 4187,Newark,NJ,7102,2025-09-02,13513.4,active
MRC-200030,REDSTONE LOGISTICS,MARK,Smith,mark.smith@redstone-example.com,(922) 894-4430,Spring,TX,77373,2024-06-22,36939.77,pending
MRC-100740,Copper Electric,Daniel,Davis,daniel.davis@copper-example.com,+1 215 889 4064,Boston,MA,,2020-05-10,374.41,Churned
MRC-100736,Bluebird Landscaping,Emma,Brown,emma.brown@bluebird-example.com,(870) 571-4115,Providence,RI,02903,2023-10-10,990.17,churned
MRC-100232,Copper Logistics,Robert,Anderson,robert.anderson@copper-example.com,,Boston,MA,2108,2019-11-01,478.67,pending
MRC-100941,Redstone Auto Repair,Nancy,Jones,nancy.jones@redstone-example.com,+1 329 508 2597,Spring,TX,77373,2024-11-04,16948.18,active
MRC-101637,Redstone Landscaping,Sophia,Wilson,sophia.wilson@redstone-example.com,+1 643 443 3104,Portland,OR,97201,2025-09-20,-126.14,PENDING
MRC-100315,Copper Bakery,Daniel,Martinez,daniel.martinez@copper-example.com,+1 909 926 1088,Atlanta,GA,30303,2020-08-16,1521.44,churned
MRC-101038,Ironwood Cleaning,Mark,Smith,mark.smith@ironwood-example.com,+1 355 284 9171,Chicago,IL,60601,2023-11-04,3934.87,churned
MRC-100853,Pioneer Landscaping,,Jones,robert.jones@pioneer-example.com,(465) 247-1001,Newark,nj,07102,2021-12-10,1542.54,Active
MRC-101638,Harbor Plumbing,Sophia,Brown,sophia.brown@harbor-example.com,(879) 450-2668,Providence,RI,2903,2020-11-01,2268.68,pending
MRC-100756,Ironwood Auto Repair,Robert,Anderson,robert.anderson@ironwood-example.com,+1 424 568 9005,Spring,TX,77373,2022-06-20,190.36,pending
MRC-100370,Bluebird Electric,Michael,Williams,michael.williams@bluebird-example.com,+1 269 341 4134,Chicago,IL,60601,2022-04-29,624.01,churned
MRC-101950,Harbor HVAC,Olivia,Martin,olivia.martin@harbor-example.com,(473) 257-5730,Atlanta,GA,30303,2019-11-02,2626.36,churned
MRC-100307,Ironwood Electric,Karen,Wilson,karen.wilson@ironwood-example.com,+1 981 283 7145,Portland,OR,97201,2021-10-25,4131.57,active
MRC-100058,Redstone Electric,Michael,Hall,michael.hall@redstone-example.com,+1 801 566 6243,Denver,CO,80202,2023-09-11,1253.79,churned
MRC-101894,Willow Landscaping,Sophia,Davis,sophia.davis@willow-example.com,,Denver,CO,80202,2019-09-02,792.67,pending
MRC-101328,Granite Electric,Olivia,Wilson,olivia.wilson@granite-example.com,+1 676 335 8130,Spring,TX,77373,2020-06-14,9827.71,pending
